球员,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
哈桑-怀特塞德,61.90%,0,49.80%,8.4,0.1,0.5,2.6,1.2,2.1,c
莱罗伊-艾利斯,44.20%,0,72.80%,8.3,1.3,0.1,0.1,0,2.5,c
布莱尔-拉斯姆森,47.20%,25.70%,76.70%,5.7,0.9,0.4,0.9,0.9,3.1,c
鲍伯-金尼,35.30%,0,60.80%,0,1.5,0,0,0,4,c
马库斯-坎比,46.60%,20.50%,67.00%,9.8,1.9,1,2.4,1.4,2.8,c
汤姆-伯尔森,44.50%,0.00%,72.60%,6.3,1.3,0.7,1.3,0.5,3,c
乔金-诺阿,49.20%,0.00%,71.20%,9.4,3,0.8,1.4,1.8,2.9,c
吉姆-福克斯,47.90%,0,77.00%,7.4,1.6,0.2,0.1,0,2.7,c
鲍伯-霍伯雷葛斯,40.40%,0,72.10%,5.5,1.8,0,0,0,2.5,c
乔治-格拉迈克,24.80%,0,76.40%,0,1.7,0,0,0,2.5,c
Kleggie Hermsen,29.70%,0,65.40%,1.6,1.3,0,0,0,3.6,c
马特-盖革,49.90%,23.20%,72.80%,5.7,0.7,0.6,0.6,1.3,3,c
乔治-拉特科维茨,37.20%,0,67.30%,5.6,2.3,0,0,0,3.6,c
鲍伯-费里,43.30%,0,66.40%,5.3,1.4,0,0,0,2.3,c
肯特-本森,49.30%,20.60%,75.70%,5.7,1.8,0.9,0.9,1.6,2.8,c
斯宾塞-霍伊斯,45.80%,35.30%,70.30%,6,1.9,0.4,1,1.5,2.6,c
里克-罗伯森,44.00%,0,58.50%,8.3,1.4,0.2,0.2,0,3.1,c
扎伊德-阿卜杜勒-阿齐兹,42.80%,0,72.80%,8,1.2,0.3,0.4,0,2.2,c
雷杰-哈丁,41.30%,0,60.70%,9.1,1.7,0,0,0,2.8,c
维克多-亚历山大,51.80%,28.60%,63.40%,4.8,0.9,0.5,0.6,1.3,2.5,c
查理-泰拉,38.90%,0,67.20%,7.4,0.9,0,0,0,2.8,c
诺布勒-乔简森,36.00%,0,74.20%,3.2,1.2,0,0,0,3.4,c
Chick Halbert,31.40%,0,63.30%,1.8,1.4,0,0,0,2.7,c
吉姆-巴恩斯,42.90%,0,68.40%,6.5,0.8,0,0,0,3.3,c
泰森-钱德勒,59.00%,0.00%,64.50%,9.3,0.8,0.6,1.3,1.5,3,c
达夫-罗比斯,45.70%,0.00%,81.40%,5.2,1.6,0.4,0.4,0.8,1.8,c
迈克-索杰纳,48.00%,0,67.10%,6.5,0.9,0.5,0.6,0,2.4,c
詹姆斯-唐纳森,57.10%,0,73.20%,7.8,0.8,0.4,1.3,1.5,2.1,c
乔-斯特拉瓦德,42.60%,0,68.60%,9.9,1.1,0,0,0,4.2,c
达夫-科尔辛,48.40%,18.90%,74.70%,5.9,1.7,0.4,1,1.5,2.2,c
比利-鲍尔兹,49.10%,0.00%,64.30%,5.6,1.6,0.4,1.1,1.1,2.2,c
斯坦利-罗伯茨,49.90%,0.00%,51.40%,5.2,0.6,0.4,1.3,1.2,3.5,c
Melvin Turpin,51.60%,11.10%,77.70%,4.6,0.5,0.4,1,1.2,2.4,c
沃尔特-韦斯利,43.40%,0,63.00%,5.5,0.7,0,0,0,2.5,c
汉克-宾德斯,26.50%,0,68.70%,0,0.5,0,0,0,2.7,c
迈克-格林,46.00%,0.00%,70.70%,5.4,1.4,0.5,1.5,0.9,2.8,c
史蒂夫-霍伊斯,48.30%,29.80%,79.00%,6.2,1.9,0.8,0.5,1.2,2.7,c
贾维尔-麦基,54.00%,20.00%,58.50%,5.5,0.3,0.4,1.8,1.1,2.4,c
马克-杰克逊,44.60%,22.60%,81.40%,4.3,0.8,0.4,0.3,1.2,2,c
蒂姆-麦考密克,53.50%,6.30%,70.30%,4.9,1,0.3,0.4,1.3,2.6,c
梅森-普拉姆利,59.60%,0.00%,54.60%,5.7,1.1,0.8,0.8,1.3,2.6,c
凯文-库内特,47.60%,0,68.20%,7.3,1.4,0.5,1.1,0.7,3.5,c
迈克尔-奥洛沃坎迪,43.50%,0,59.70%,6.8,0.7,0.5,1.4,1.8,3,c
