投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
54.00%,0,51.10%,22.9,4.4,0,0,0,2,c
58.20%,4.50%,52.70%,10.9,2.5,0.6,2.3,2.7,3.4,c
40.40%,0,78.20%,9.5,2.8,0,0,0,4.2,c
47.40%,0,75.60%,5.5,2.4,0,0,0,3.5,c
50.30%,8.10%,75.40%,9.4,2.3,0.9,1.3,1.4,3.2,c
51.20%,20.20%,71.20%,11.1,2.5,1.7,3.1,3,3.5,c
51.80%,25.00%,73.60%,10.6,2.5,1.4,3,2.4,2.9,c
50.40%,15.20%,74.00%,9.8,1.9,1,2.4,3,3.4,c
49.10%,10.00%,76.90%,12.2,1.4,0.8,1.3,2.9,2.3,c
50.60%,25.30%,79.70%,7.9,2.5,1,0.6,1.8,2.8,c
51.60%,0,63.20%,13.7,2.4,0,0,0,3.4,c
51.40%,15.40%,76.70%,10.1,3.1,0.8,1.1,1.2,3.2,c
44.40%,0,76.80%,11.3,2.5,0,0,0,3.3,c
52.40%,20.00%,83.30%,9.2,1.6,0.4,1.9,2.7,3.3,c
53.20%,14.30%,74.70%,9.5,3.7,0.8,0.7,2.8,2.7,c
47.60%,0,74.70%,12.9,1.8,0,0,0,3.7,c
58.00%,10.40%,57.20%,12.7,1.5,1,2.1,3.1,3.3,c
51.00%,5.00%,79.40%,7.4,1.3,0.6,1.8,2,2.8,c
47.40%,0.00%,74.70%,7.7,1.8,1,1.6,2.8,3.1,c
46.00%,7.10%,78.30%,13.6,3.8,0.8,0.6,0.7,3.8,c
43.60%,0,76.10%,6.7,3.2,0,0,0,2.6,c
46.10%,0,68.60%,8.3,1.5,0,0,0,3.1,c
56.40%,15.80%,71.80%,10.2,3,0.8,0.8,3.7,3.7,c
45.60%,0.00%,70.00%,7.9,1.3,0.3,1.5,2.8,2.7,c
59.90%,7.70%,71.30%,10.1,2,0.5,1.9,2.6,3.3,c
52.70%,24.70%,69.20%,8.5,1.1,0.5,2.8,2.6,3.4,c
44.30%,0,75.70%,9.5,1.7,0,0,0,3.3,c
46.90%,0,75.00%,10.4,1.5,0.1,0.1,0,3.7,c
35.40%,0,69.70%,0,1.8,0,0,0,3.9,c
46.40%,32.80%,84.90%,9.8,3.2,1,0.9,2.3,3.5,c
48.60%,17.20%,66.10%,8.8,2.3,0.9,1.6,3,3.5,c
53.20%,41.20%,81.40%,9.3,1,0.7,2.2,2.1,3.2,c
44.00%,0,56.10%,22.5,4.3,0,0,0,2.7,c
42.10%,0,66.70%,15,2.7,0.1,0.6,0,2.7,c
50.70%,11.50%,77.30%,6.1,1.4,0.4,1.3,1.8,3.5,c
